url,place_name,place_score,num_reviews,user_number_reviews,user_number_photos,time,score,text
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,16,16,5 years ago,5,"It's a dog friendly lovely park, with families and a great view"
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,50,,2 years ago,5,Love this playground  
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,19,,3 years ago,5,A great place to bring the kids.
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,,,a year ago,5,Great neighborhood playground
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,64,64,a year ago,5,"Pet friendly, child friendly, clean, picturesque"
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,11,11,2 years ago,4,A little bit insecure but really fun!
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,154,,2 years ago,5,Dog park near here is a must visit for all the dog owners in the area!
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,,,3 years ago,4,Kids loved it truly enjoyed themselves
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,28,,a year ago,5,Great playground
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,91,91,2 years ago,5,Super nice for children
